lottery,position,year,asOf,profit,baseProfit,roi,days,dominant,dominance,switches,maxDD,unobservedDays
"หวยธกส","สองบน","2024","2024-12-16","296","296","49.00662251655629","12","Top+Mid","45.45454545454545","5","-100","339"
"หวยธกส","สองบน","2025","2025-12-16","-138","162","-25.650557620817843","12","Top+Mid","36.36363636363637","3","-148","338"
"หวยธกส","สองบน","2026","2026-08-16","-242","58","-54.75113122171946","9","Top+Mid","42.857142857142854","2","-295","219"
"หวยธกส","สองล่าง","2024","2024-12-16","-136","-36","-25.37313432835821","12","Top+Bottom","63.63636363636363","5","-172","339"
"หวยธกส","สองล่าง","2025","2025-12-16","190","90","37.254901960784316","12","Top","72.72727272727273","3","-146","338"
"หวยธกส","สองล่าง","2026","2026-08-16","-251","-51","-55.654101995565405","9","Bottom","71.42857142857143","3","-251","219"
"หวยประชาชนลาว","สองบน","2024","2024-12-31","181","-119","2.6938532519720195","122","Bottom","50","3","-307","0"
"หวยประชาชนลาว","สองบน","2025","2025-12-31","805","1705","4.215763288819063","364","Top+Bottom","58.333333333333336","6","-650","1"
"หวยประชาชนลาว","สองบน","2026","2026-09-12","-436","-1136","-3.1285878300803676","253","Top","37.5","5","-801","2"
"หวยประชาชนลาว","สองล่าง","2024","2024-12-31","-1140","460","-17.16867469879518","122","Mid","25","3","-1392","0"
"หวยประชาชนลาว","สองล่าง","2025","2025-12-31","-386","714","-2.1461136439452906","364","Mid","50","7","-1076","1"
"หวยประชาชนลาว","สองล่าง","2026","2026-09-12","549","149","3.9924369136790054","253","Top+Mid+Bottom","37.5","6","-458","2"
"หวยมาเลย์","สองบน","2024","2024-12-31","912","-488","11.561866125760648","163","Top+Mid","25","7","-372","203"
"หวยมาเลย์","สองบน","2025","2025-12-31","260","60","3.27455919395466","160","Bottom","58.333333333333336","6","-821","205"
"หวยมาเลย์","สองบน","2026","2026-09-12","-652","48","-10.105393676379418","112","Mid","50","3","-876","143"
"หวยมาเลย์","สองล่าง","2024","2024-12-31","-70","-1270","-0.8264462809917356","163","Top+Mid","33.33333333333333","5","-549","203"
"หวยมาเลย์","สองล่าง","2025","2025-12-31","-863","-63","-9.961906960637194","157","Mid","25","7","-1240","208"
"หวยมาเลย์","สองล่าง","2026","2026-09-12","197","-703","3.2279206947402916","112","Top","50","4","-600","143"
"หวยยูโร","สองบน","2024","2024-12-31","1431","1931","8.905345696683055","306","Top","60","2","-802","0"
